,Intitulé du poste,Date de publication,lieu,competences,Nom de la société,Type de contrat,Salaires
482,Data ingénieur F/H - Informatique de gestion (H/F),"
Publié le 16 janvier 2023
",92 - ISSY LES MOULINEAUX,"big data, git","
ARTIALYS
","CDI
 - Temps plein",Salaire brut : A partir de 40 k€ brut annuel
483,Lead Architecte Data Integration F/H - Informatique de gestion (H/F),"
Publié le 16 janvier 2023
",93 - NOISY LE GRAND,"paas, support, cloud, talend, etl","
RATP
","CDI
 - Temps plein",Salaire brut : A partir de 35 k€ brut annuel
484,Consultant en Transformation Data/IA - Financial Services F/H - Formation initiale et continue (H/F),"
Publié le 16 janvier 2023
",93 - BOBIGNY,"data management, data quality","
GFI Informatique
","CDD
 - Temps partiel",Salaire brut : 40 - 58 k€ brut annuel
485,Actuaire Data Scientist en IARD - MRP F/H - Etudes socio-économiques (H/F),"
Publié le 16 janvier 2023
",92 - NANTERRE,"python, machine learning, sas","
AXA FRANCE
","CDI
 - Temps plein",Salaire brut : A négocier
486,Consultant data analytics F/H - Projets scientifiques et techniques (H/F),"
Publié le 16 janvier 2023
",75 - PARIS 16,"python, agile, test, recette, power bi, etl","
Hays France
","CDI
 - Temps plein",Salaire brut : A négocier
487,"Data Analyste/ Scientist F/H - Système, réseaux, données (H/F)","
Publié le 16 janvier 2023
",78 - GUYANCOURT,"python, outils, ios","
SERMA INGENIERIE
","CDI
 - Temps plein",Salaire brut : A partir de 33 k€ brut annuel
488,"Chargé d'études / Data analyst F/H - Système, réseaux, données (H/F)","
Publié le 16 janvier 2023
",92 - COURBEVOIE,"big data, outils, excel","
DEKRA PERSONNEL FRANCE
","CDI
 - Temps plein",Salaire brut : 35 - 45 k€ brut annuel
489,"AUDITEUR SPÉCIALISÉ DATA ANALYST - F/H - Système, réseaux, données (H/F)","
Publié le 16 janvier 2023
",75 - PARIS 01,"python, sql, outils, intelligence artificielle","
Banque de France
","Intérim
 - Temps plein",Salaire brut : A négocier
490,Consultant(e) Power BI / Data analyste F/H - Maîtrise d'ouvrage et fonctionnel (H/F),"
Publié le 16 janvier 2023
",92 - MONTROUGE,"sql, agile, outils, marketing, bases de données, power bi, sql server, ios","
DATAVALUE CONSULTING
","CDI
 - Temps plein",Salaire brut : 38 - 45 k€ brut annuel
491,"CONSULTANT DATA SCIENTIST ET PYTHON F F/H - Système, réseaux, données (H/F)","
Publié le 16 janvier 2023
",75 - PARIS 01,"python, agile, hadoop, scrum, réseaux, cloud, devops, excel",,"CDI
 - Temps plein",Salaire brut : 45 - 60 k€ brut annuel
492,"Data scientist F/H - Système, réseaux, données (H/F)","
Publié le 16 janvier 2023
",91 - MASSY,"agile, test, outils, communication, machine learning, cloud, devops, excel","
CARREFOUR
","CDD
 - Temps plein",Salaire brut : A négocier
493,PMO Data F/H - Informatique de gestion (H/F),"
Publié le 16 janvier 2023
",75 - PARIS 13,"outils, communication, git, support, ios","
CITECH
","CDI
 - Temps plein",Salaire brut : 40 - 55 k€ brut annuel
494,PMO Data F/H - Informatique de gestion (H/F),"
Publié le 16 janvier 2023
",75 - PARIS 13,"outils, communication, git, support, ios","
CITECH
","CDI
 - Temps plein",Salaire brut : 40 - 55 k€ brut annuel
495,DATA ANALYSTE RISQUES CRÉDITS (H/F),"
Actualisé le 18 janvier 2023
",75 - PARIS 01,"python, sql, outils, vba",,"CDI
 - Temps plein",
496,Data scientist (H/F),"
Publié le 14 janvier 2023
",91 - MASSY,"agile, test, outils, communication, machine learning, cloud, devops, excel",,"CDI
 - Temps plein",
497,Data analyst senior (H/F),"
Publié le 14 janvier 2023
",92 - NEUILLY SUR SEINE,"support, sap, power bi, cloud, tableau","
Imagreen
","CDD
 - Temps plein",
498,Data analyst (H/F),"
Publié le 14 janvier 2023
",75 - PARIS 09,"sql, outils, validation, sap, power bi, excel",,"CDI
 - Temps plein",
499,Data analyst (H/F),"
Publié le 14 janvier 2023
",75 - PARIS 09,"python, sql, test, outils, vba",,"CDI
 - Temps plein",
500,Data analyst (H/F),"
Publié le 14 janvier 2023
",75 - PARIS 09,excel,,"CDI
 - Temps plein",
501,DEEP B2-2  DATA SCIENTIST - RESPONSABLE D'ANALYSES DE DONNÉES DE PANEL F/H (H/F),"
Publié le 14 janvier 2023
",75 - Paris (Dept.),outils,,"CDI
 - Temps plein",
502,Actuaire Data Scientist en IARD - MRP (F/H) (H/F),"
Publié le 14 janvier 2023
",92 - NANTERRE,"python, machine learning, sas","
AXA France
","CDI
 - Temps plein",
503,Pilote de Projets Data F/H (H/F),"
Publié le 13 janvier 2023
",75,"outils, data management, vba, excel",,,
504,Consultant data analytics H/F,"
Publié le 13 janvier 2023
",75,"python, agile, test, recette, power bi, etl",,,
505,Data scientist (H/F),"
Actualisé le 13 janvier 2023
",75 - PARIS 01,"python, big data, outils, communication, marketing, business intelligence, machine learning, sas, qlik",,"CDI
 - Temps plein",
506,Data manager (H/F),"
Publié le 13 janvier 2023
",75 - PARIS 01,"python, sql, test, outils, nosql, iaas, paas, machine learning, git, java, unix, cloud, c++, linux, unix, sécurité",,"CDI
 - Temps plein",
507,Data scientist (H/F),"
Publié le 13 janvier 2023
",95 - BEZONS,"python, sql, test, outils, communication, nosql, bases de données, excel",,"CDI
 - Temps plein",
508,"Data Analyst - QlikView F/H - Système, réseaux, données (H/F)","
Publié le 13 janvier 2023
",91 - WISSOUS,"outils, qlik, tableau, qlikview, excel","
MICHAEL PAGE INTERNATIONAL FRANCE
","CDD
 - Temps plein",Salaire brut : 40 - 45 k€ brut annuel
509,"Data Analyst F/H - Système, réseaux, données (H/F)","
Publié le 13 janvier 2023
",75 - PARIS 08,"python, sql, big data, communication, hadoop, data management, bases de données, cloud, tableau","
BIA Consulting
","CDI
 - Temps plein",Salaire brut : A négocier
510,"Data Engineer F/H - Système, réseaux, données (H/F)","
Publié le 13 janvier 2023
",92 - NEUILLY SUR SEINE,"recette, data management","
APGAR
","CDI
 - Temps plein",Salaire brut : A partir de 40 k€ brut annuel
511,"Lead Data Architect F/H - Système, réseaux, données (H/F)","
Publié le 13 janvier 2023
",75 - PARIS 12,"agile, big data, outils, communication, paas, data management, git, cloud, data quality","
RATP
","CDI
 - Temps plein",Salaire brut : A partir de 45 k€ brut annuel
512,"Consultant digital & Data F/H - Système, réseaux, données (H/F)","
Publié le 13 janvier 2023
",75 - PARIS 01,"agile, test, outils, validation, git","
CGI FRANCE
","CDI
 - Temps plein",Salaire brut : A négocier
513,"Data analyst F/H - Système, réseaux, données (H/F)","
Publié le 13 janvier 2023
",75 - PARIS 04,"python, sql, test, git, sap, cloud, spark","
jobs_that_makesense
","Intérim
 - Temps plein",Salaire brut : A négocier
514,"Data analyst F/H - Système, réseaux, données (H/F)","
Publié le 13 janvier 2023
",75 - PARIS 04,"python, sql, test, git, sap, cloud, spark","
jobs_that_makesense
","CDD
 - Temps plein",Salaire brut : A négocier
515,"Ingenieur en BIG DATA/ F/H - Système, réseaux, données (H/F)","
Publié le 13 janvier 2023
",93 - ROSNY SOUS BOIS,"python, sql, outils, nosql, hadoop, machine learning, java, scala, cloud, spark","
GENERAL DE GAULLE
","CDD
 - Temps plein",Salaire brut : 33 - 38 k€ brut annuel
516,"Data Analyst Risque de Crédit F/H - Finance, trésorerie (H/F)","
Publié le 13 janvier 2023
",75 - PARIS 09,"python, test, outils, communication, validation, sas, excel","
Agathe Redier
","CDI
 - Temps plein",Salaire brut : A partir de 42 k€ brut annuel
517,"UN·E CHEF·FE DE PROJET ""OPEN DATA"" F/H - Système, réseaux, données (H/F)","
Publié le 13 janvier 2023
",93 - BOBIGNY,"outils, web","
CD 93
","CDI
 - Temps plein",Salaire brut : A négocier
518,"Ingénieur(e) Big Data F/H - Système, réseaux, données (H/F)","
Publié le 13 janvier 2023
",75 - PARIS 17,"python, big data, hadoop, java, scala, linux, spark","
CGILANUM
","CDI
 - Temps plein",Salaire brut : 45 - 55 k€ brut annuel
519,"Ingénieur / Expert - Cœur de Réseau Data (EPC) F/H - Système, réseaux, données (H/F)","
Publié le 13 janvier 2023
",92 - BOULOGNE BILLANCOURT,"agile, test, recette, outils, communication, validation, réseaux, windows, oracle, network, linux, sécurité, ios","
Davidson
","CDI
 - Temps plein",Salaire brut : 45 - 75 k€ brut annuel
520,"Technical Data Engineer Confirmed F/H - Système, réseaux, données (H/F)","
Publié le 13 janvier 2023
",92 - NEUILLY SUR SEINE,"sql, agile, test, outils, hadoop, data management, java, sql server, oracle, cloud, devops, jenkins, j2ee, spark","
APGAR
","Intérim
 - Temps plein",Salaire brut : A partir de 45 k€ brut annuel
521,"Financial Data Analyst F/H - Système, réseaux, données (H/F)","
Publié le 13 janvier 2023
",75 - PARIS 08,"sql, outils, power bi, qlik, tableau","
SENDINBLUE
","CDI
 - Temps plein",Salaire brut : A partir de 40 k€ brut annuel
522,"Data Scientist - Analyst BI F/H - Système, réseaux, données (H/F)","
Actualisé le 13 janvier 2023
",75 - PARIS 06,"python, outils, communication, marketing, business intelligence, sas, qlik","
La Banque Postale
","CDI
 - Temps plein",Salaire brut : A négocier
523,"DATA ANALYST BATIMENT F/H - Système, réseaux, données (H/F)","
Actualisé le 13 janvier 2023
",77 - CHAMPS SUR MARNE,"python, sql, outils, communication, machine learning, git, bases de données, réseaux, sap, linux, ios","
CSTB
","CDI
 - Temps plein",Salaire brut : A négocier
524,Chef de projet Data H/F,"
Publié le 13 janvier 2023
",92 - NANTERRE,"agile, outils, communication, validation, git, cloud","
New Net 3D
","CDI
 - Temps plein",
525,EXPERT CVC DATA CENTER BILINGUE (H/F),"
Publié le 13 janvier 2023
",75 - PARIS 01,git,,"CDI
 - Temps plein",
526,Manager/Senior Manager Data-Santé Social et Emploi - Courbevoie (H/F),"
Actualisé le 13 janvier 2023
",92 - COURBEVOIE,"outils, intelligence artificielle, business intelligence, git, excel, ios",,"CDI
 - Temps plein",
527,Data Manager H/F,"
Publié le 13 janvier 2023
",75,"test, validation, data management, bases de données, sas",,,"Salaire brut : Cachet de 30000,00 Euros à 50000,00 Euros"
528,Architecte Data et gouvernance des données F/H (H/F),"
Publié le 13 janvier 2023
",91 - LISSES,"sql, agile, communication, nosql, data management, git, sap, talend",,"CDI
 - Temps plein",
529,Data & Web Analyst - F/H (H/F),"
Publié le 13 janvier 2023
",75,"sql, communication, web, crm",,,
530,Data scientist (H/F),"
Actualisé le 13 janvier 2023
",78 - MAGNY LES HAMEAUX,"python, sql, agile, communication, nosql, machine learning, bases de données, support, cloud, ios",,"CDI
 - Temps plein",
531,Data Analyst au sein de la Digital Services Factory F/H (H/F),"
Publié le 13 janvier 2023
",77 - MELUN,"sql, test, outils, communication, git, bases de données, support, tableau",,"CDD
 - Temps plein",
532,Data Scientist - Engineering Simulations F/H (H/F),"
Publié le 13 janvier 2023
",78 - MAGNY LES HAMEAUX,"python, sql, intelligence artificielle, nosql, machine learning, git, excel",,"CDI
 - Temps plein",
533,Lead Clinical Data Manager H/F - Hôpital Bicêtre,"
Actualisé le 18 janvier 2023
",94 - LE KREMLIN BICETRE,"intelligence artificielle, bases de données, support, réseaux, excel, ios",,"CDI
 - Temps plein",
534,Lead Clinical Data Manager H/F - Hôpital Bicêtre,"
Actualisé le 18 janvier 2023
",94 - LE KREMLIN BICETRE,"intelligence artificielle, bases de données, support, réseaux, excel, ios",,"CDI
 - Temps plein",
535,Ingénieure / Ingénieur Data Science H/F,"
Publié le 13 janvier 2023
",91 - SACLAY,"python, outils, intelligence artificielle, marketing, machine learning, ios",,"CDI
 - Temps plein",
536,DATA ANALYST BATIMENT F/H (H/F),"
Publié le 13 janvier 2023
",77 - CHAMPS SUR MARNE,"python, sql, outils, machine learning, bases de données, réseaux, sap","
CSTB
","CDI
 - Temps plein",Salaire brut : De
537,Business Analyst IT Data - Technico-Fonctionnel H/F,"
Publié le 13 janvier 2023
",92 - MONTROUGE,"python, machine learning, data quality","
MP
","CDI
 - Temps plein","Salaire brut : De 70000,00 Euros à 75000,00 Euros"
538,Ingénieur Software Data R&D H/F,"
Publié le 13 janvier 2023
",92 - MONTROUGE,"agile, machine learning, etl","
MP
","CDI
 - Temps plein","Salaire brut : De 70000,00 Euros à 80000,00 Euros"
539,Expert Développements Master Data Management H/F,"
Publié le 13 janvier 2023
",92 - PUTEAUX,"communication, data management, support, web, etl","
MP
","CDD
 - Temps plein","Salaire brut : De 60000,00 Euros à 65000,00 Euros"
540,Service Delivery Manager Data H/F,"
Publié le 13 janvier 2023
",93 - PANTIN,"outils, support, cloud, sécurité, excel","
MP
","CDI
 - Temps plein","Salaire brut : De 70000,00 Euros à 85000,00 Euros"
541,Data Analyst H/F,"
Publié le 13 janvier 2023
",75,"outils, excel","
MP
",,"Salaire brut : De 40000,00 Euros à 46000,00 Euros"
542,Service Delivery Manager Data H/F,"
Publié le 13 janvier 2023
",93 - BOBIGNY,"outils, support, cloud, sécurité, excel","
MP
","CDI
 - Temps plein","Salaire brut : De 70000,00 Euros à 85000,00 Euros"
543,Chef de Projet Data Management H/F,"
Publié le 13 janvier 2023
",91 - CORBEIL ESSONNES,"data management, git, bases de données, salesforce","
MP
","CDI
 - Temps plein","Salaire brut : De 43000,00 Euros à 48000,00 Euros"
544,Data Analyst Finance H/F,"
Actualisé le 13 janvier 2023
",75,"test, outils, bases de données, support, sap, tableau","
MP
",,"Salaire brut : De 40000,00 Euros à 45000,00 Euros"
545,Responsable d'Entité Big Data H/F,"
Publié le 13 janvier 2023
",93 - BOBIGNY,"big data, outils, communication, marketing, validation, scrum","
MP
","CDI
 - Temps plein","Salaire brut : De 55000,00 Euros à 65000,00 Euros"
546,Business Analyst Data H/F,"
Publié le 13 janvier 2023
",75,"marketing, support, excel","
MP
",,"Salaire brut : De 155988,00 Euros à 207984,00 Euros"
547,Data Manager H/F,"
Publié le 13 janvier 2023
",75,"sql, git, bases de données, web, qlik, sécurité, talend, etl","
MP
",,"Salaire brut : De 48000,00 Euros à 50000,00 Euros"
548,Ingénieur Big Data H/F,"
Publié le 13 janvier 2023
",75,"sql, test, big data, support, sas, excel, ios, etl","
MP
",,"Salaire brut : De 45000,00 Euros à 60000,00 Euros"
549,Analyste métier confirmé - data steward h/f,"
Publié le 12 janvier 2023
",92 - COURBEVOIE,"agile, big data, outils, hadoop",,"CDI
 - Temps plein",
550,Data gouvernance manager (H/F),"
Publié le 12 janvier 2023
",92 - NANTERRE,"sql, outils, communication, support, sap, sql server, tableau, data quality, talend, etl","
Louvre Hotels
","CDI
 - Temps plein",
551,Responsable master data (H/F),"
Actualisé le 24 janvier 2023
",92 - ASNIERES SUR SEINE,"outils, data management, bases de données, support, sap, excel","
FED SUPPLY
","CDI
 - Temps partiel",
552,Data analyst (H/F),"
Publié le 12 janvier 2023
",75 - PARIS 09,excel,,"CDI
 - Temps plein",
553,Data analyst (H/F),"
Publié le 12 janvier 2023
",92 - COURBEVOIE,"sql, big data, outils, communication, data management, git, support, excel",,"CDI
 - Temps plein",
554,Data analyst (H/F),"
Publié le 12 janvier 2023
",92 - COURBEVOIE,"sql, big data, outils, communication, data management, git, support, excel",,"CDI
 - Temps plein",
555,"JUNIOR DATA ANALYST F/H - Système, réseaux, données (H/F)","
Publié le 12 janvier 2023
",92 - SURESNES,"outils, business intelligence, git, support, excel, crm","
Randstad Search
","CDI
 - Temps plein",Salaire brut : A négocier
556,"Ingénieur Data F/H - Système, réseaux, données (H/F)","
Publié le 12 janvier 2023
",75 - PARIS 09,"python, agile, test, outils, git, jenkins","
Confidentiel
","CDI
 - Temps plein",Salaire brut : 45 - 55 k€ brut annuel
557,"Business Data Analyst F/H - Système, réseaux, données (H/F)","
Publié le 12 janvier 2023
",75 - PARIS 13,"python, agile, test, big data, outils, communication, saas, business intelligence, git, scrum, acquisition, sap, cloud, tableau, spark","
CAISSE DES DEPOTS ET CONSIGNATIONS
","CDI
 - Temps plein",Salaire brut : A négocier
558,"Ingénieur Big Data - Telecom, Média & Entertainment - Paris F/H - Système, réseaux, données (H/F)","
Publié le 12 janvier 2023
",75 - PARIS 01,"python, agile, big data, intelligence artificielle, hadoop, git, java, scrum, cloud, devops, etl, spark","
Dogfinance
","CDI
 - Temps plein",Salaire brut : A négocier
559,"Data Analyst F/H - Système, réseaux, données (H/F)","
Publié le 12 janvier 2023
",92 - ISSY LES MOULINEAUX,"agile, big data, java, scala, c++, spark","
CAPGEMINI TECHNOLOGY SERVICES
","CDI
 - Temps plein",Salaire brut : A négocier
560,Analyste métier confirmé - Data Steward H/F,"
Publié le 12 janvier 2023
",92 - COURBEVOIE,"agile, big data, outils, communication, hadoop, excel, ios",,"CDI
 - Temps plein",Salaire brut : selon profil et expérience
561,Data manager (H/F),"
Publié le 12 janvier 2023
",92 - BOULOGNE BILLANCOURT,"agile, big data, machine learning","
VIVERIS
","CDI
 - Temps plein",
562,Data scientist (H/F),"
Publié le 12 janvier 2023
",91 - PALAISEAU,"intelligence artificielle, sécurité, ios, tensorflow","
ONERA
","CDI
 - Temps plein",
563,Data scientist (H/F),"
Publié le 11 janvier 2023
",92 - LEVALLOIS PERRET,"intelligence artificielle, marketing, machine learning, git, moa",,"CDD
 - Temps plein",
564,Data scientist (H/F),"
Publié le 11 janvier 2023
",75 - PARIS 01,"python, machine learning, git, cloud, tableau, nlp, keras",,"CDI
 - Temps plein",
565,Data manager (H/F),"
Actualisé le 18 janvier 2023
",Ile-de-France,"support, excel",,"CDI
 - Temps plein",
566,Délégué / Déléguée à la protection des données - Data Protection Officer (H/F),"
Publié le 11 janvier 2023
",Ile-de-France,"web, excel",,"CDI
 - Temps plein",
567,"Consultant Data Viz F/H - Système, réseaux, données (H/F)","
Actualisé le 25 janvier 2023
",75 - PARIS 01,"python, sql, communication, data management, excel","
Datatorii
","CDD
 - Temps plein",Salaire brut : 45 - 55 k€ brut annuel
568,"Architecte Big Data F/H - Système, réseaux, données (H/F)","
Publié le 11 janvier 2023
",93 - ST DENIS,"big data, recette, hadoop, scala, unix, cloud, moe, unix, devops, spark","
SNCF ACT
","CDI
 - Temps plein",Salaire brut : A négocier
569,"Data Engineer F/H - Système, réseaux, données (H/F)","
Publié le 11 janvier 2023
",75 - PARIS 02,"python, sql, agile, big data, nosql, hadoop, scrum, scala, unix, cloud, unix, devops, spark","
SIBYLONE
","CDI
 - Temps plein",Salaire brut : A partir de 40 k€ brut annuel
570,"Data Engineer F/H - Système, réseaux, données (H/F)","
Publié le 11 janvier 2023
",75 - PARIS 01,"agile, test, big data, communication, hadoop, git, scala, spark","
Digital Partners
","CDI
 - Temps plein",Salaire brut : A négocier
571,"Data Analyst Dataviz F/H - Système, réseaux, données (H/F)","
Publié le 11 janvier 2023
",75 - PARIS 02,"power bi, qlik, tableau, cognos","
SIBYLONE
","CDI
 - Temps plein",Salaire brut : A partir de 40 k€ brut annuel
572,"Chef de projets DATA F/H - Système, réseaux, données (H/F)","
Publié le 11 janvier 2023
",92 - NEUILLY SUR SEINE,agile,"
PREREQUIS
","CDI
 - Temps plein",Salaire brut : A négocier
573,Chargé.e de mission observatoire data et impact F/H - Communication (H/F),"
Actualisé le 19 janvier 2023
",75 - PARIS 04,"outils, communication, support, sas","
jobs_that_makesense
","CDI
 - Temps plein",Salaire brut : A partir de 33 k€ brut annuel
574,Chargé.e de mission observatoire data et impact F/H - Communication (H/F),"
Actualisé le 19 janvier 2023
",75 - PARIS 04,"outils, communication, support, sas","
jobs_that_makesense
","CDD
 - Temps plein",Salaire brut : A partir de 33 k€ brut annuel
575,Chef de projet MOE en DATA F/H - Maîtrise d'ouvrage et fonctionnel (H/F),"
Publié le 11 janvier 2023
",75 - PARIS 09,,"
VR CONSEIL
","CDI
 - Temps plein",Salaire brut : 45 - 75 k€ brut annuel
576,"Data scientist signal F/H - Système, réseaux, données (H/F)","
Publié le 11 janvier 2023
",92 - COURBEVOIE,"python, outils, validation, machine learning, ios","
AQUILA DATA ENABLER
","Intérim
 - Temps plein",Salaire brut : A partir de 45 k€ brut annuel
577,"Référent-e Applicatif API - Data Engineer F/H - Système, réseaux, données (H/F)","
Publié le 11 janvier 2023
",91 - PALAISEAU,"agile, outils, business intelligence, git, cloud, excel, ios","
Safran Electronics & Defense
","CDI
 - Temps plein",Salaire brut : A négocier
578,SSI DPN DTNUM BUREAU SI2 - MISSION SERVICE A L'UTILISATEUR - DATA SCIENTIST EXPERT H/F,"
Publié le 11 janvier 2023
",93 - Seine Saint Denis,,,"CDI
 - Temps plein",
579,"Data Engineer SPARK/SCALA F/H - Système, réseaux, données (H/F)","
Publié le 11 janvier 2023
",75 - PARIS 09,"test, outils, hadoop, git, bases de données, scala, devops, jenkins, excel, spark","
datapy
","CDI
 - Temps plein",Salaire brut : A partir de 45 k€ brut annuel
580,"Responsable Data - F/H - Système, réseaux, données (H/F)","
Actualisé le 12 janvier 2023
",75 - PARIS 08,"sql, outils, git, bases de données, tableau, excel, ios","
TINGARI.
","CDI
 - Temps plein",Salaire brut : A partir de 40 k€ brut annuel
581,DATA MINER (H/F),"
Actualisé le 13 janvier 2023
",75 - PARIS 01,"python, marketing, sas, vba",,"CDI
 - Temps plein",
582,CHEF DE PRODUIT ET DATA MARKETING (H/F),"
Actualisé le 13 janvier 2023
",75 - PARIS 01,"marketing, excel",,"CDI
 - Temps plein",
583,Chef de projet e-commerce CRM /DATA H/F,"
Publié le 10 janvier 2023
",75,"test, recette, marketing, git, web, seo, crm","
Nexton Consulting
",,"Salaire brut : De 30000,00 Euros à 90000,00 Euros"
584,Data Quality Analyst (H/F),"
Publié le 10 janvier 2023
",75,"sql, test, git, web, tableau, data quality","
DYNAMIS RH
",,Salaire brut : De
585,Senior Manager Data CDI (H/F),"
Publié le 10 janvier 2023
",75,"outils, devops","
FRG Technology Consulting
",,"Salaire brut : De 90000,00 Euros à 110000,00 Euros"
586,Data Analyst CDI (H/F),"
Publié le 10 janvier 2023
",75,"sql, agile, outils, power bi, qlik, tableau, data quality, etl","
FRG Technology Consulting
",,"Salaire brut : De 39000,00 Euros à 59000,00 Euros"
587,Technical Data Engineer Confirmed (H/F),"
Publié le 10 janvier 2023
",92 - NEUILLY SUR SEINE,"sql, agile, test, outils, hadoop, data management, git, support, java, sql server, oracle, cloud, devops, jenkins, j2ee, spark","
APGAR
","CDI
 - Temps plein",
588,Data Advisory Manager (H/F),"
Actualisé le 24 janvier 2023
",92 - NEUILLY SUR SEINE,"outils, data management, git, support","
APGAR
","CDI
 - Temps plein",
589,Technical Data Engineer (H/F),"
Actualisé le 10 janvier 2023
",92 - NEUILLY SUR SEINE,"sql, agile, test, outils, hadoop, data management, git, support, java, sql server, oracle, cloud, devops, javascript, jenkins, j2ee, spark","
APGAR
","CDI
 - Temps plein",
590,Data Engineer Senior (H/F),"
Publié le 10 janvier 2023
",92 - NEUILLY SUR SEINE,"test, recette, data management, git, support","
APGAR
","CDI
 - Temps plein",
591,Technical Data Engineer Senior (H/F),"
Publié le 10 janvier 2023
",92 - NEUILLY SUR SEINE,"sql, agile, test, outils, hadoop, data management, git, support, java, sql server, oracle, cloud, devops, javascript, jenkins, j2ee, spark","
APGAR
","CDI
 - Temps plein",
592,Data analyst (H/F),"
Publié le 10 janvier 2023
",75 - Paris (Dept.),"test, outils, bases de données, support, sap, tableau",,"CDI
 - Temps plein",
593,"Analyste DATA - F/H - Système, réseaux, données (H/F)","
Publié le 10 janvier 2023
",75 - PARIS 01,"sql, outils, bases de données, power bi, oracle, tableau","
Dogfinance
","CDI
 - Temps plein",Salaire brut : A négocier
594,"Analyste DATA - F/H - Système, réseaux, données (H/F)","
Publié le 10 janvier 2023
",75 - PARIS 01,"sql, outils, bases de données, power bi, oracle, tableau","
Dogfinance
","CDI
 - Temps plein",Salaire brut : A négocier
595,Product Owner Innovation Data F/H - Informatique de gestion (H/F),"
Publié le 10 janvier 2023
",75 - PARIS 02,"agile, intelligence artificielle, validation, machine learning, scrum","
SAS OCEANE CONSULTING CS
","CDI
 - Temps plein",Salaire brut : A négocier
596,Product Owner & Data Analyst F/H - Informatique de gestion (H/F),"
Publié le 10 janvier 2023
",75 - PARIS 04,"git, vba, excel","
jobs_that_makesense
","CDI
 - Temps plein",Salaire brut : A négocier
597,"Data Analyst au sein de la Digital Services Factory F/H - Système, réseaux, données (H/F)","
Publié le 10 janvier 2023
",77 - MELUN,"sql, test, outils, communication, git, bases de données, support, tableau","
Safran Aircraft Engines
","CDD
 - Temps plein",Salaire brut : A négocier
598,"Data Ingénieur (Paris) F/H - Système, réseaux, données (H/F)","
Publié le 10 janvier 2023
",75 - PARIS 09,"outils, hadoop, machine learning, git, windows, tableau, linux, talend, etl, spark","
ALTECA
","Intérim
 - Temps plein",Salaire brut : 40 - 60 k€ brut annuel
599,"Data manager projet de refonte SI métier support F/H - Système, réseaux, données (H/F)","
Actualisé le 26 janvier 2023
",91 - SACLAY,"agile, plm, git, support, sap, sécurité","
ARIAL INDUSTRIES
","CDI
 - Temps plein",Salaire brut : A partir de 40 k€ brut annuel
600,"Data Engineer F/H - Système, réseaux, données (H/F)","
Publié le 10 janvier 2023
",75 - PARIS 01,"python, sql, test, big data, recette, outils, nosql, hadoop, marketing, git, support, java, power bi, scala, cloud, linux, devops, spark","
iPepper
","CDI
 - Temps plein",Salaire brut : A partir de 40 k€ brut annuel
601,"¯DATA ANALYSTE - ECONOMISTE F/H - Système, réseaux, données (H/F)","
Actualisé le 23 janvier 2023
",75 - PARIS 08,"communication, sas, excel","
WAVY SERVICES
","CDI
 - Temps plein",Salaire brut : A partir de 40 k€ brut annuel
602,"Ingénieur data Azure F/H - Système, réseaux, données (H/F)","
Publié le 10 janvier 2023
",92 - NEUILLY SUR SEINE,"outils, communication, power bi, scala, tableau, etl","
NIGEL FRANK INTERNATIONAL
","CDI
 - Temps plein",Salaire brut : 45 - 65 k€ brut annuel
603,"Data Scientist - Engineering Simulations F/H - Système, réseaux, données (H/F)","
Publié le 10 janvier 2023
",78 - MAGNY LES HAMEAUX,"python, sql, intelligence artificielle, nosql, machine learning, git, excel","
Safran SA
","CDI
 - Temps plein",Salaire brut : A négocier
604,"Contrôleur de gestion / data analyst (h/f) - (94) F/H - Contrôle de gestion, audit","
Publié le 10 janvier 2023
",75 - PARIS 01,"sql, outils, bases de données, power bi, vba, excel, ios","
Dogfinance
","CDI
 - Temps plein",Salaire brut : A négocier
605,Testeur Data F/H - Informatique de gestion (H/F),"
Publié le 10 janvier 2023
",92 - CHATILLON,"sql, agile, test, recette, outils, cloud, ios","
MIRA GROUP
","CDI
 - Temps plein",Salaire brut : A partir de 35 k€ brut annuel
606,"Data Analyst F/H - Système, réseaux, données (H/F)","
Publié le 10 janvier 2023
",94 - CHARENTON LE PONT,"sql, outils, git, sas, power bi, cloud","
CITECH
","CDI
 - Temps plein",Salaire brut : 40 - 55 k€ brut annuel
607,"Data quality manager F/H - Système, réseaux, données (H/F)","
Publié le 10 janvier 2023
",92 - COURBEVOIE,"test, communication, support, ios, data quality","
autobiz
","CDI
 - Temps plein",Salaire brut : A partir de 43 k€ brut annuel
608,"Consultante / Consultant Data Engineer Paris F/H - Système, réseaux, données (H/F)","
Actualisé le 24 janvier 2023
",75 - PARIS 09,"test, big data, outils, git, acquisition, spring, devops, spark","
ZENIKA
","CDI
 - Temps plein",Salaire brut : 48 - 70 k€ brut annuel
609,Conducteur de travaux DATA CENTER CFO/CFA F/H - Cadres de chantier (H/F),"
Publié le 10 janvier 2023
",78 - GUYANCOURT,sécurité,"
CEME ILE-DE-FRANCE
","CDD
 - Temps plein",Salaire brut : 38 - 46 k€ brut annuel
